id,displayName,score
player00086,Player 00086,4941
player00087,Player 00087,878
player00088,Player 00088,50091
player00089,Player 00089,88871
player00090,Player 00090,16721
player00091,Player 00091,32290
player00092,Player 00092,47778
player00093,Player 00093,27861
player00094,Player 00094,50956
player00095,Player 00095,83469
player00096,Player 00096,8322
player00097,Player 00097,79543
player00098,Player 00098,16100
player00099,Player 00099,76353
player00100,Player 00100,65982
player00101,Player 00101,77959
player00102,Player 00102,35865
player00103,Player 00103,22577
player00104,Player 00104,71470
player00105,Player 00105,66113
player00106,Player 00106,57086
player00107,Player 00107,55544
player00108,Player 00108,79823
player00109,Player 00109,12950
player00110,Player 00110,18780
player00111,Player 00111,68083
player00112,Player 00112,29900
player00113,Player 00113,75466
player00114,Player 00114,5680
player00115,Player 00115,69532
player00116,Player 00116,96872
player00117,Player 00117,10464
player00118,Player 00118,138
player00119,Player 00119,24516
player00120,Player 00120,6636
player00121,Player 00121,501
player00122,Player 00122,10286
player00123,Player 00123,41187
player00124,Player 00124,77161
player00125,Player 00125,30075
player00126,Player 00126,24845
player00127,Player 00127,25780
player00128,Player 00128,37578
player00129,Player 00129,13605
player00130,Player 00130,77985
player00131,Player 00131,18771
player00132,Player 00132,3009
player00133,Player 00133,64478
player00134,Player 00134,23843
player00135,Player 00135,38820
player00136,Player 00136,76313
player00137,Player 00137,47170
player00138,Player 00138,9948
player00139,Player 00139,68247
player00140,Player 00140,88690
player00141,Player 00141,69007
player00142,Player 00142,78325
player00143,Player 00143,89470
player00144,Player 00144,21565
player00145,Player 00145,4699
player00146,Player 00146,48768
player00147,Player 00147,55289
player00148,Player 00148,20302
player00149,Player 00149,37549
player00150,Player 00150,5187
player00151,Player 00151,27670
player00152,Player 00152,48598
player00153,Player 00153,80142
player00154,Player 00154,58995
player00155,Player 00155,83569
player00156,Player 00156,72364
player00157,Player 00157,37842
player00158,Player 00158,14002
player00159,Player 00159,23549
player00160,Player 00160,45496
player00161,Player 00161,36758
player00162,Player 00162,4068
player00163,Player 00163,7681
player00164,Player 00164,37863
player00165,Player 00165,62883
player00166,Player 00166,23546
player00167,Player 00167,58026
player00168,Player 00168,39735
player00169,Player 00169,90936
player00170,Player 00170,40731
player00171,Player 00171,43520
player00172,Player 00172,91676
player00173,Player 00173,35548
player00174,Player 00174,3685
player00175,Player 00175,74248
player00176,Player 00176,64299
player00177,Player 00177,80709
player00178,Player 00178,53929
player00179,Player 00179,81758
player00180,Player 00180,46518
player00181,Player 00181,54154
player00182,Player 00182,93608
player00183,Player 00183,54253
player00184,Player 00184,92249
player00185,Player 00185,80305
player00186,Player 00186,36760
player00187,Player 00187,10885
player00188,Player 00188,87712
player00189,Player 00189,75119
player00190,Player 00190,10466
player00191,Player 00191,26526
player00192,Player 00192,17706
player00193,Player 00193,2438
player00194,Player 00194,73359
player00195,Player 00195,23857
player00196,Player 00196,87349
player00197,Player 00197,53155
player00198,Player 00198,41683
player00199,Player 00199,81005
player00200,Player 00200,11595
player00201,Player 00201,75996
player00202,Player 00202,10459
player00203,Player 00203,88056
player00204,Player 00204,46137
player00205,Player 00205,50389
player00206,Player 00206,66559
player00207,Player 00207,39086
player00208,Player 00208,80000
player00209,Player 00209,16728
player00210,Player 00210,6195
player00211,Player 00211,33536
player00212,Player 00212,47382
player00213,Player 00213,90268
player00214,Player 00214,21533
player00215,Player 00215,63489
player00216,Player 00216,54947
player00217,Player 00217,69468
player00218,Player 00218,8880
player00219,Player 00219,63819
player00220,Player 00220,86888
player00221,Player 00221,2044
player00222,Player 00222,6217
player00223,Player 00223,3922
player00224,Player 00224,94615
player00225,Player 00225,50148
player00226,Player 00226,16954
player00227,Player 00227,63061
player00228,Player 00228,90583
player00229,Player 00229,39030
player00230,Player 00230,48774
player00231,Player 00231,17508
player00232,Player 00232,50905
player00233,Player 00233,42973
player00234,Player 00234,7991
player00235,Player 00235,53960
player00236,Player 00236,24926
player00237,Player 00237,51682
player00238,Player 00238,34582
player00239,Player 00239,815
player00240,Player 00240,19587
player00241,Player 00241,19793
player00242,Player 00242,22928
player00243,Player 00243,64514
player00244,Player 00244,82510
player00245,Player 00245,69556
player00246,Player 00246,43125
player00247,Player 00247,42714
player00248,Player 00248,6707
player00249,Player 00249,7529
player00250,Player 00250,27576
player00251,Player 00251,35812
player00252,Player 00252,85997
player00253,Player 00253,77539
player00254,Player 00254,11552
player00255,Player 00255,9497
player00256,Player 00256,96770
player00257,Player 00257,8998
player00258,Player 00258,94368
player00259,Player 00259,38170
player00260,Player 00260,13252
player00261,Player 00261,43297
player00262,Player 00262,18841
player00263,Player 00263,81112
player00264,Player 00264,77185
player00265,Player 00265,18405
player00266,Player 00266,297
player00267,Player 00267,36412
player00268,Player 00268,1830
player00269,Player 00269,22382
player00270,Player 00270,59947
player00271,Player 00271,77256
player00272,Player 00272,26137
player00273,Player 00273,27769
player00274,Player 00274,28406
player00275,Player 00275,4766
player00276,Player 00276,38587
player00277,Player 00277,54684
player00278,Player 00278,15697
player00279,Player 00279,19441
player00280,Player 00280,57465
player00281,Player 00281,44760
player00282,Player 00282,6072
player00283,Player 00283,26471
player00284,Player 00284,80944
player00285,Player 00285,94349
player00286,Player 00286,25826
player00287,Player 00287,85460
player00288,Player 00288,92248
player00289,Player 00289,13425
player00290,Player 00290,68071
player00291,Player 00291,52228
player00292,Player 00292,87370
player00293,Player 00293,55956
player00294,Player 00294,12709
player00295,Player 00295,50912
player00296,Player 00296,34424
player00297,Player 00297,28079
player00298,Player 00298,94751
player00299,Player 00299,39796
player00300,Player 00300,12914
player00301,Player 00301,20619
player00302,Player 00302,40763
player00303,Player 00303,22122
player00304,Player 00304,10832
player00305,Player 00305,47292
player00306,Player 00306,18884
player00307,Player 00307,94600
player00308,Player 00308,49292
player00309,Player 00309,42008
player00310,Player 00310,1726
player00311,Player 00311,90231
player00312,Player 00312,43367
player00313,Player 00313,20608
player00314,Player 00314,34492
player00315,Player 00315,51458
player00316,Player 00316,88155
player00317,Player 00317,52731
player00318,Player 00318,6126
player00319,Player 00319,70060
player00320,Player 00320,10558
player00321,Player 00321,63667
player00322,Player 00322,23662
player00323,Player 00323,85633
player00324,Player 00324,73541
player00325,Player 00325,2342
player00326,Player 00326,67917
player00327,Player 00327,53224
player00328,Player 00328,64811
player00329,Player 00329,19063
player00330,Player 00330,57721
player00331,Player 00331,20626
player00332,Player 00332,86563
player00333,Player 00333,94243
player00334,Player 00334,4467
player00335,Player 00335,1107
player00336,Player 00336,3110
player00337,Player 00337,46014
player00338,Player 00338,28519
player00339,Player 00339,98494
player00340,Player 00340,45093
player00341,Player 00341,66497
player00342,Player 00342,49152
player00343,Player 00343,93049
player00344,Player 00344,99688
player00345,Player 00345,94178
player00346,Player 00346,79534
player00347,Player 00347,76931
player00348,Player 00348,41002
player00349,Player 00349,58395
player00350,Player 00350,84871
player00351,Player 00351,5911
player00352,Player 00352,77389
player00353,Player 00353,81252
player00354,Player 00354,82245
player00355,Player 00355,86824
player00356,Player 00356,2336
player00357,Player 00357,8708
player00358,Player 00358,59655
player00359,Player 00359,36103
player00360,Player 00360,3788
player00361,Player 00361,90766
player00362,Player 00362,66911
player00363,Player 00363,1413
player00364,Player 00364,55021
player00365,Player 00365,7608
player00366,Player 00366,65757
player00367,Player 00367,8691
player00368,Player 00368,57823
player00369,Player 00369,81054
player00370,Player 00370,6333
player00371,Player 00371,11732
player00372,Player 00372,87409
player00373,Player 00373,44041
player00374,Player 00374,9529
player00375,Player 00375,86580
player00376,Player 00376,58178
player00377,Player 00377,45278
player00378,Player 00378,42254
player00379,Player 00379,408
player00380,Player 00380,41937
player00381,Player 00381,90821
player00382,Player 00382,21821
player00383,Player 00383,52637
player00384,Player 00384,1620
player00385,Player 00385,66042
player00386,Player 00386,73117
player00387,Player 00387,34036
player00388,Player 00388,68839
player00389,Player 00389,76572
player00390,Player 00390,24148
player00391,Player 00391,66294
player00392,Player 00392,60750
player00393,Player 00393,29372
player00394,Player 00394,79350
player00395,Player 00395,15833
player00396,Player 00396,94934
player00397,Player 00397,30523
player00398,Player 00398,97445
player00399,Player 00399,37793
player00400,Player 00400,81160
player00401,Player 00401,89350
player00402,Player 00402,13567
player00403,Player 00403,17241
player00404,Player 00404,73506
player00405,Player 00405,29644
player00406,Player 00406,82421
player00407,Player 00407,78595
player00408,Player 00408,72641
player00409,Player 00409,11696
player00410,Player 00410,99062
player00411,Player 00411,78269
player00412,Player 00412,6175
player00413,Player 00413,71506
player00414,Player 00414,47637
player00415,Player 00415,16324
player00416,Player 00416,6410
player00417,Player 00417,63170
player00418,Player 00418,87907
player00419,Player 00419,20635
player00420,Player 00420,13419
player00421,Player 00421,56834
player00422,Player 00422,18848
player00423,Player 00423,14416
player00424,Player 00424,48284
player00425,Player 00425,47580
player00426,Player 00426,58258
player00427,Player 00427,70273
player00428,Player 00428,2682
player00429,Player 00429,86191
player00430,Player 00430,17672
player00431,Player 00431,39977
player00432,Player 00432,18727
player00433,Player 00433,44751
player00434,Player 00434,68480
player00435,Player 00435,27809
player00436,Player 00436,9389
player00437,Player 00437,35593
player00438,Player 00438,89150
player00439,Player 00439,59948
player00440,Player 00440,47059
player00441,Player 00441,49134
player00442,Player 00442,90426
player00443,Player 00443,28382
player00444,Player 00444,76033
player00445,Player 00445,98544
player00446,Player 00446,55931
player00447,Player 00447,65867
player00448,Player 00448,60866
player00449,Player 00449,79698
player00450,Player 00450,67063
player00451,Player 00451,58665
player00452,Player 00452,62466
player00453,Player 00453,31662
player00454,Player 00454,54572
player00455,Player 00455,34954
player00456,Player 00456,97619
player00457,Player 00457,99094
player00458,Player 00458,13552
player00459,Player 00459,73585
player00460,Player 00460,62940
player00461,Player 00461,85971
player00462,Player 00462,92547
player00463,Player 00463,1607
player00464,Player 00464,61396
player00465,Player 00465,36772
player00466,Player 00466,75663
player00467,Player 00467,79439
player00468,Player 00468,39280
player00469,Player 00469,67297
player00470,Player 00470,40021
player00471,Player 00471,68197
player00472,Player 00472,77816
player00473,Player 00473,99064
player00474,Player 00474,36475
player00475,Player 00475,1827
player00476,Player 00476,90543
player00477,Player 00477,72977
player00478,Player 00478,54099
player00479,Player 00479,63866
player00480,Player 00480,12790
player00481,Player 00481,708
player00482,Player 00482,91339
player00483,Player 00483,15531
player00484,Player 00484,37131
player00485,Player 00485,4445
player00486,Player 00486,85959
player00487,Player 00487,54843
player00488,Player 00488,41220
player00489,Player 00489,60951
player00490,Player 00490,11489
player00491,Player 00491,17671
player00492,Player 00492,59072
player00493,Player 00493,2433
player00494,Player 00494,90860
player00495,Player 00495,18872
player00496,Player 00496,57303
player00497,Player 00497,26462
player00498,Player 00498,34193
player00499,Player 00499,58850
player00500,Player 00500,71479
player00501,Player 00501,30155
player00502,Player 00502,18134
player00503,Player 00503,96499
player00504,Player 00504,91381
player00505,Player 00505,6151
player00506,Player 00506,98997
player00507,Player 00507,4933
player00508,Player 00508,95841
player00509,Player 00509,39900
player00510,Player 00510,40367
player00511,Player 00511,92829
player00512,Player 00512,19645
player00513,Player 00513,76579
player00514,Player 00514,252
player00515,Player 00515,19396
player00516,Player 00516,46037
player00517,Player 00517,60404
player00518,Player 00518,19816
player00519,Player 00519,24702
player00520,Player 00520,74081
player00521,Player 00521,39225
player00522,Player 00522,59557
player00523,Player 00523,81663
player00524,Player 00524,22791
player00525,Player 00525,92816
player00526,Player 00526,92106
player00527,Player 00527,92192
player00528,Player 00528,8515
player00529,Player 00529,7213
player00530,Player 00530,3379
player00531,Player 00531,95004
player00532,Player 00532,78973
player00533,Player 00533,74939
player00534,Player 00534,60395
player00535,Player 00535,51754
player00536,Player 00536,96442
player00537,Player 00537,25195
player00538,Player 00538,64195
player00539,Player 00539,84708
player00540,Player 00540,22262
player00541,Player 00541,1751
player00542,Player 00542,92675
player00543,Player 00543,20063
player00544,Player 00544,73578
player00545,Player 00545,92145
player00546,Player 00546,78168
player00547,Player 00547,41342
player00548,Player 00548,93357
player00549,Player 00549,9393
player00550,Player 00550,8094
player00551,Player 00551,99005
player00552,Player 00552,31481
player00553,Player 00553,7172
player00554,Player 00554,21086
player00555,Player 00555,82252
player00556,Player 00556,16613
player00557,Player 00557,64362
player00558,Player 00558,94053
player00559,Player 00559,77048
player00560,Player 00560,66471
player00561,Player 00561,46718
player00562,Player 00562,67512
player00563,Player 00563,38576
player00564,Player 00564,70384
player00565,Player 00565,59388
player00566,Player 00566,94353
player00567,Player 00567,96022
player00568,Player 00568,46107
player00569,Player 00569,81803
player00570,Player 00570,9603
player00571,Player 00571,13059
player00572,Player 00572,73059
player00573,Player 00573,37300
player00574,Player 00574,21554
player00575,Player 00575,18505
player00576,Player 00576,77552
player00577,Player 00577,98904
player00578,Player 00578,82690
player00579,Player 00579,79836
player00580,Player 00580,36773
player00581,Player 00581,39144
player00582,Player 00582,83477
player00583,Player 00583,24248
player00584,Player 00584,1013
player00585,Player 00585,31559
player00586,Player 00586,59120
player00587,Player 00587,37302
player00588,Player 00588,22166
player00589,Player 00589,67873
player00590,Player 00590,84884
player00591,Player 00591,45090
player00592,Player 00592,2679
player00593,Player 00593,72640
player00594,Player 00594,35841
player00595,Player 00595,30368
player00596,Player 00596,23946
player00597,Player 00597,38345
player00598,Player 00598,47641
player00599,Player 00599,89899
player00600,Player 00600,21641
player00601,Player 00601,55056
player00602,Player 00602,37140
player00603,Player 00603,83931
player00604,Player 00604,48416
player00605,Player 00605,36446
player00606,Player 00606,38431
player00607,Player 00607,80200
player00608,Player 00608,89886
player00609,Player 00609,1566
player00610,Player 00610,72205
player00611,Player 00611,5133
player00612,Player 00612,83947
player00613,Player 00613,70254
player00614,Player 00614,26896
player00615,Player 00615,75592
player00616,Player 00616,47921
player00617,Player 00617,85469
player00618,Player 00618,36793
player00619,Player 00619,46151
player00620,Player 00620,14120
player00621,Player 00621,97828
player00622,Player 00622,76886
player00623,Player 00623,1561
player00624,Player 00624,24919
player00625,Player 00625,78739
player00626,Player 00626,14395
player00627,Player 00627,81173
player00628,Player 00628,81528
player00629,Player 00629,72833
player00630,Player 00630,76972
player00631,Player 00631,55973
player00632,Player 00632,57626
player00633,Player 00633,71624
player00634,Player 00634,66051
player00635,Player 00635,99094
player00636,Player 00636,84950
player00637,Player 00637,75040
player00638,Player 00638,45283
player00639,Player 00639,22434
player00640,Player 00640,41083
player00641,Player 00641,52429
player00642,Player 00642,32496
player00643,Player 00643,92456
player00644,Player 00644,91683
player00645,Player 00645,16252
player00646,Player 00646,1514
player00647,Player 00647,43252
player00648,Player 00648,14543
player00649,Player 00649,57995
player00650,Player 00650,83401
player00651,Player 00651,44347
player00652,Player 00652,41289
player00653,Player 00653,76068
player00654,Player 00654,47445
player00655,Player 00655,13663
player00656,Player 00656,37783
player00657,Player 00657,46070
player00658,Player 00658,92159
player00659,Player 00659,77888
player00660,Player 00660,54103
player00661,Player 00661,52616
player00662,Player 00662,69392
player00663,Player 00663,87852
player00664,Player 00664,29990
player00665,Player 00665,23300
player00666,Player 00666,74227
player00667,Player 00667,68414
player00668,Player 00668,82018
player00669,Player 00669,38356
player00670,Player 00670,29021
player00671,Player 00671,90984
player00672,Player 00672,25981
player00673,Player 00673,94155
player00674,Player 00674,65664
player00675,Player 00675,8071
player00676,Player 00676,63286
player00677,Player 00677,96763
player00678,Player 00678,7895
player00679,Player 00679,99857
player00680,Player 00680,77068
player00681,Player 00681,60939
player00682,Player 00682,29804
player00683,Player 00683,16896
player00684,Player 00684,77435
player00685,Player 00685,20270
player00686,Player 00686,90519
player00687,Player 00687,62201
player00688,Player 00688,69910
player00689,Player 00689,60918
player00690,Player 00690,25721
player00691,Player 00691,57968
player00692,Player 00692,56542
player00693,Player 00693,18973
player00694,Player 00694,18490
player00695,Player 00695,30660
player00696,Player 00696,215
player00697,Player 00697,28176
player00698,Player 00698,17382
player00699,Player 00699,98514
player00700,Player 00700,84338
player00701,Player 00701,91730
player00702,Player 00702,48857
player00703,Player 00703,35224
player00704,Player 00704,6365
player00705,Player 00705,25360
player00706,Player 00706,24542
player00707,Player 00707,85318
player00708,Player 00708,35822
player00709,Player 00709,30995
player00710,Player 00710,11656
player00711,Player 00711,29189
player00712,Player 00712,48930
player00713,Player 00713,65044
player00714,Player 00714,47580
player00715,Player 00715,70075
player00716,Player 00716,18782
player00717,Player 00717,19634
player00718,Player 00718,40446
player00719,Player 00719,50774
player00720,Player 00720,47625
player00721,Player 00721,39079
player00722,Player 00722,34600
player00723,Player 00723,22197
player00724,Player 00724,92189
player00725,Player 00725,91898
player00726,Player 00726,13030
player00727,Player 00727,35024
player00728,Player 00728,25086
player00729,Player 00729,17704
player00730,Player 00730,48035
player00731,Player 00731,63766
player00732,Player 00732,24034
player00733,Player 00733,17422
player00734,Player 00734,84090
player00735,Player 00735,68295
player00736,Player 00736,90744
player00737,Player 00737,33729
player00738,Player 00738,4400
player00739,Player 00739,29999
player00740,Player 00740,40829
player00741,Player 00741,45085
player00742,Player 00742,41836
player00743,Player 00743,66611
player00744,Player 00744,153
player00745,Player 00745,26554
player00746,Player 00746,82850
player00747,Player 00747,15949
player00748,Player 00748,56116
player00749,Player 00749,17205
player00750,Player 00750,82787
player00751,Player 00751,59222
player00752,Player 00752,45611
player00753,Player 00753,48462
player00754,Player 00754,46633
player00755,Player 00755,98143
player00756,Player 00756,63011
player00757,Player 00757,45147
player00758,Player 00758,5680
player00759,Player 00759,67549
player00760,Player 00760,17835
player00761,Player 00761,79117
player00762,Player 00762,20464
player00763,Player 00763,56683
player00764,Player 00764,58216
player00765,Player 00765,10302
player00766,Player 00766,85345
player00767,Player 00767,30163
player00768,Player 00768,35178
player00769,Player 00769,48962
player00770,Player 00770,54882
player00771,Player 00771,20740
player00772,Player 00772,49239
player00773,Player 00773,84288
player00774,Player 00774,68167
player00775,Player 00775,65266
player00776,Player 00776,80596
player00777,Player 00777,10793
player00778,Player 00778,86529
player00779,Player 00779,29278
player00780,Player 00780,16815
player00781,Player 00781,20489
player00782,Player 00782,21247
player00783,Player 00783,91851
player00784,Player 00784,61026
player00785,Player 00785,28736
player00786,Player 00786,61534
player00787,Player 00787,77201
player00788,Player 00788,3446
player00789,Player 00789,18749
player00790,Player 00790,63094
player00791,Player 00791,88448
player00792,Player 00792,12122
player00793,Player 00793,74557
player00794,Player 00794,94174
player00795,Player 00795,71081
player00796,Player 00796,12976
player00797,Player 00797,50045
player00798,Player 00798,64894
player00799,Player 00799,67304
player00800,Player 00800,93764
player00801,Player 00801,43549
player00802,Player 00802,94479
player00803,Player 00803,32539
player00804,Player 00804,94482
player00805,Player 00805,52159
player00806,Player 00806,61079
player00807,Player 00807,17720
player00808,Player 00808,4662
player00809,Player 00809,92925
player00810,Player 00810,48585
player00811,Player 00811,48524
player00812,Player 00812,36412
player00813,Player 00813,86981
player00814,Player 00814,22581
player00815,Player 00815,87042
player00816,Player 00816,4500
player00817,Player 00817,5070
player00818,Player 00818,8980
player00819,Player 00819,13203
player00820,Player 00820,1690
player00821,Player 00821,79953
player00822,Player 00822,67887
player00823,Player 00823,73138
player00824,Player 00824,35977
player00825,Player 00825,50318
player00826,Player 00826,47852
player00827,Player 00827,85761
player00828,Player 00828,39586
player00829,Player 00829,13522
player00830,Player 00830,15719
player00831,Player 00831,67723
player00832,Player 00832,77312
player00833,Player 00833,24293
player00834,Player 00834,67036
player00835,Player 00835,79510
player00836,Player 00836,24398
player00837,Player 00837,70409
player00838,Player 00838,6346
player00839,Player 00839,66924
player00840,Player 00840,51418
player00841,Player 00841,13682
player00842,Player 00842,36223
player00843,Player 00843,55765
player00844,Player 00844,89563
player00845,Player 00845,60374
player00846,Player 00846,77816
player00847,Player 00847,44884
player00848,Player 00848,26164
player00849,Player 00849,68268
player00850,Player 00850,30877
player00851,Player 00851,508
player00852,Player 00852,30657
player00853,Player 00853,29015
player00854,Player 00854,38825
player00855,Player 00855,46133
player00856,Player 00856,40955
player00857,Player 00857,99139
player00858,Player 00858,43763
player00859,Player 00859,82195
player00860,Player 00860,10106
player00861,Player 00861,53869
player00862,Player 00862,64931
player00863,Player 00863,61364
player00864,Player 00864,45750
player00865,Player 00865,27854
player00866,Player 00866,49074
player00867,Player 00867,83203
player00868,Player 00868,13702
player00869,Player 00869,80890
player00870,Player 00870,25219
player00871,Player 00871,17908
player00872,Player 00872,76447
player00873,Player 00873,16127
player00874,Player 00874,17829
player00875,Player 00875,53203
player00876,Player 00876,51060
player00877,Player 00877,10623
player00878,Player 00878,19326
player00879,Player 00879,68873
player00880,Player 00880,23485
player00881,Player 00881,57336
player00882,Player 00882,59084
player00883,Player 00883,22377
player00884,Player 00884,34870
player00885,Player 00885,89417
player00886,Player 00886,21125
player00887,Player 00887,17364
player00888,Player 00888,13511
player00889,Player 00889,11552
player00890,Player 00890,13214
player00891,Player 00891,15883
player00892,Player 00892,26714
player00893,Player 00893,85383
player00894,Player 00894,80388
player00895,Player 00895,66400
player00896,Player 00896,40494
player00897,Player 00897,47494
player00898,Player 00898,70962
player00899,Player 00899,75140
player00900,Player 00900,49694
player00901,Player 00901,79994
player00902,Player 00902,23558
player00903,Player 00903,92255
player00904,Player 00904,35268
player00905,Player 00905,85319
player00906,Player 00906,25925
player00907,Player 00907,43887
player00908,Player 00908,51571
player00909,Player 00909,1063
player00910,Player 00910,99284
player00911,Player 00911,99189
player00912,Player 00912,62251
player00913,Player 00913,26031
player00914,Player 00914,59051
player00915,Player 00915,89520
player00916,Player 00916,14536
player00917,Player 00917,56228
player00918,Player 00918,52547
player00919,Player 00919,30113
player00920,Player 00920,8402
player00921,Player 00921,49602
player00922,Player 00922,66703
player00923,Player 00923,92932
player00924,Player 00924,58070
player00925,Player 00925,8236
player00926,Player 00926,10044
player00927,Player 00927,4645
player00928,Player 00928,78016
player00929,Player 00929,21676
player00930,Player 00930,20759
player00931,Player 00931,74501
player00932,Player 00932,86411
player00933,Player 00933,68355
player00934,Player 00934,64066
player00935,Player 00935,56311
player00936,Player 00936,83011
player00937,Player 00937,25803
player00938,Player 00938,98043
player00939,Player 00939,63446
player00940,Player 00940,21831
player00941,Player 00941,79990
player00942,Player 00942,46536
player00943,Player 00943,77765
player00944,Player 00944,69545
player00945,Player 00945,47439
player00946,Player 00946,96311
player00947,Player 00947,29832
player00948,Player 00948,84240
player00949,Player 00949,36126
player00950,Player 00950,31569
player00951,Player 00951,82455
player00952,Player 00952,16897
player00953,Player 00953,75038
player00954,Player 00954,55271
player00955,Player 00955,59634
player00956,Player 00956,17156
player00957,Player 00957,83461
player00958,Player 00958,50505
player00959,Player 00959,88156
player00960,Player 00960,91551
player00961,Player 00961,35968
player00962,Player 00962,78714
player00963,Player 00963,58373
player00964,Player 00964,87424
player00965,Player 00965,20430
player00966,Player 00966,77319
player00967,Player 00967,47205
player00968,Player 00968,78551
player00969,Player 00969,6998
player00970,Player 00970,36294
player00971,Player 00971,90653
player00972,Player 00972,5984
player00973,Player 00973,29223
player00974,Player 00974,94221
player00975,Player 00975,34730
player00976,Player 00976,58556
player00977,Player 00977,39415
player00978,Player 00978,72905
player00979,Player 00979,41630
player00980,Player 00980,32273
player00981,Player 00981,14960
player00982,Player 00982,13454
player00983,Player 00983,77160
player00984,Player 00984,23711
player00985,Player 00985,45875
player00986,Player 00986,78838
player00987,Player 00987,90266
player00988,Player 00988,39253
player00989,Player 00989,30510
player00990,Player 00990,96101
player00991,Player 00991,36657
player00992,Player 00992,90147
player00993,Player 00993,96697
player00994,Player 00994,66719
player00995,Player 00995,88079
player00996,Player 00996,74752
player00997,Player 00997,1928
player00998,Player 00998,16537
player00999,Player 00999,76730
player01000,Player 01000,71224
player01001,Player 01001,17390
player01002,Player 01002,67014
player01003,Player 01003,69383
player01004,Player 01004,98975
player01005,Player 01005,46224
player01006,Player 01006,63743
player01007,Player 01007,53749
player01008,Player 01008,45244
player01009,Player 01009,2287
player01010,Player 01010,40956
player01011,Player 01011,11806
player01012,Player 01012,35499
player01013,Player 01013,6026
player01014,Player 01014,43080
player01015,Player 01015,28494
player01016,Player 01016,94250
player01017,Player 01017,69277
player01018,Player 01018,10857
player01019,Player 01019,81640
player01020,Player 01020,37556
player01021,Player 01021,13082
player01022,Player 01022,51472
player01023,Player 01023,39875
player01024,Player 01024,13942
player01025,Player 01025,71600
player01026,Player 01026,42791
player01027,Player 01027,81670
player01028,Player 01028,10117
player01029,Player 01029,5190
player01030,Player 01030,56872
player01031,Player 01031,33341
player01032,Player 01032,15520
player01033,Player 01033,16680
player01034,Player 01034,13819
player01035,Player 01035,92317
player01036,Player 01036,55613
player01037,Player 01037,72015
player01038,Player 01038,19681
player01039,Player 01039,8248
player01040,Player 01040,95979
player01041,Player 01041,27475
player01042,Player 01042,53288
player01043,Player 01043,2801
player01044,Player 01044,44368
player01045,Player 01045,38632
player01046,Player 01046,98650
player01047,Player 01047,51142
player01048,Player 01048,62423
player01049,Player 01049,90234
player01050,Player 01050,98262
player01051,Player 01051,9546
player01052,Player 01052,46179
player01053,Player 01053,66333
player01054,Player 01054,43932
player01055,Player 01055,40344
player01056,Player 01056,46911
player01057,Player 01057,67314
player01058,Player 01058,50957
player01059,Player 01059,82096
player01060,Player 01060,22840
player01061,Player 01061,47119
player01062,Player 01062,68330
player01063,Player 01063,79411
player01064,Player 01064,89829
player01065,Player 01065,38735
player01066,Player 01066,53118
player01067,Player 01067,24463
player01068,Player 01068,86078
player01069,Player 01069,53350
player01070,Player 01070,45198
player01071,Player 01071,48090
player01072,Player 01072,24811
player01073,Player 01073,87480
player01074,Player 01074,23503
player01075,Player 01075,55389
